1	艾莉娜 「嗯……~1800~那 起床的时候~1310~/~0B20~
2	艾莉娜 「嗯{s15}……那 起床的时候~1802~/~0B20~
3	“得加把劲好好调查”/
4	“去机械师那儿看看”/
5	“接下来是月球了”/
6	“得找设计者”/
7	“去便条那地方”/
8	“想想该怎么办”/
9	“去接梓吧”/
10	“去接梓回来”/
11	“去梓那儿”/
12	“回35区”/
13	“去35区”/
14	“返回35区”/
15	~0B21~就这么喊 {s15}叫醒我 好吗？」{s06}
16	艾莉娜 「那么 晚安~0581~/好好歇歇身子吧…………」
17	凯蒂 「那么 忠先生……请好好/歇歇身子……晚安……」艾莉娜 「哼……」
18	还是再叫醒一次
19	艾莉娜 「诶？ 啊 忠……干嘛啦…………/不休息吗？ 算了没关系……/那我去驾驶舱了…………」
20	艾莉娜 「诶？ 啊 忠……干嘛啦…………/不休息吗？ 算了没关系……」
21	就这样乖乖休息
22	{g53}…………啊— 睡得真好…………艾莉娜/说让我喊啥来叫醒她来着……/呃……{s52}
23	{g0E}{g0E}{g0E}{g0E}{g0E}{g0E}{g0E}{g0E}{g0E}{g0E}{g0E}{g0E}{g0E}{g0E}{g0E}{g0E}
24	{g0E}{g0E}{g0E}{g0E}{g0E}{g0E}{g0E}{g0E}{g0E}{g0E}{g0E}{g0E}{g0E}{g0E}{g0E}
25	来调试吧★
26	艾莉娜 快起床啦
27	得加把劲好好调查
28	去机械师那儿看看
29	接下来是月球了
30	得找设计者
31	去便条那地方
32	想想该怎么办
33	去接梓吧
34	去接梓回来
35	去梓那儿
36	回35区
37	去35区
38	返回35区
39	回大家那儿
40	我们也出发吧！
41	{g53}……不是这个吧……呃/是什么来着……/        ……呃……{s52}
42	    STAGE DEBUG MODE
43	艾莉娜 「……嗯 啊 忠……早呀……」
44	艾莉娜 「……嗯 啊 忠……/那我去驾驶舱了……」 忠 「嗯」
45	艾莉娜 「……嗯 啊 忠……/那我们走吧……」 忠 「嗯」
46	~0B21~    「忠！ 忠你倒是醒醒啊！！」~0581~
47	 忠 「诶？ 啊 怎么回事 这是咋了？」艾莉娜 「真是的 都这种紧要关头了/你还打瞌睡呢！」 忠 「诶？ 我 刚才睡着了？/什么嘛原来是梦啊~170002~……呼……」~170A02~艾莉娜 「什么原来是梦啊 ~180B~大家都看着~180A~呢 不是嘛/~1807~真丢人(冒汗)」
48	~0B02~   「诶？…………
49	啊！！」
50	~121002~艾莉娜 「怎么了 {s15}忠……」
51	 忠 「这 这是哪儿？」~170602~艾莉娜 「
52	是35区的~1310~港口哦/
53	是月面号的~1310~驾驶舱哦/
54	{s15}接下来 
55	正想去便条那地方/
56	正想着该怎么办/
57	正想前往03区/
58	来着~1310~结果……~180A~你睡着了？」{s06}
59	 忠 「~1800~……什么嘛 ~1310~原来是梦啊……/啊— 吓我一跳 还以为真的/~1310~死了呢……」
60	~170B02~艾莉娜 「真是的~170200~ ~1310~讨厌 {s15}振作点啊
61	/~0710~我可全指望你了呢……」{s06}
62	艾莉娜 「诶——……这就是这次从阿源那儿/买来的家伙？/感觉挺有意思的呢……」 忠 「那 我来试着开一下看看吧……/艾莉娜你看着外面 有奇怪的地方就说一声」艾莉娜 「OK 知道啦」~0582~
63	{s06}{s04}{s01}{g4B}寻找创造主 地球正濒临危机
64	{s03} 忠 「好 那就通电吧……
65	/怎么 怎么回事？ ~1805~
66	/……诶 诶诶？ 怎么回事？…………！！」~0582~~0710~~1800~~0582~艾莉娜 「呀！？ 讨厌— ~0710~这是什么/等等 忠——！？」
67	STAGE JUMP
68	STAGE2
69	STAGE3
70	STAGE4
71	STAGE5
